name,start,end,duration,avg_return,max_drawdown,sigma_breach,type
Shock_001 (2005-07-22),2005-07-22,2005-08-04,10,0.003439,-0.088911,0.5,auto_detected
Shock_002 (2006-05-12),2006-05-12,2006-06-21,29,-0.007683,-0.05895,1.39,auto_detected
Shock_003 (2006-07-13),2006-07-13,2006-07-19,5,-0.01258,-0.027902,2.22,auto_detected
Shock_004 (2006-12-06),2006-12-06,2006-12-12,5,-0.012009,-0.026852,2.13,auto_detected
Shock_005 (2007-02-22),2007-02-22,2007-03-06,9,-0.011124,-0.039264,1.98,auto_detected
Shock_006 (2007-08-14),2007-08-14,2007-08-21,5,-0.011488,-0.037395,2.04,auto_detected
Shock_007 (2007-09-17),2007-09-17,2007-09-25,7,0.01364,0.001232,2.23,auto_detected
Shock_008 (2007-10-09),2007-10-09,2007-10-31,17,0.00875,-0.038189,1.4,auto_detected
Shock_009 (2007-11-15),2007-11-15,2007-11-22,6,-0.012183,-0.038772,2.16,auto_detected
Shock_010 (2007-12-12),2007-12-12,2007-12-31,12,0.000563,-0.045794,0.01,auto_detected
Shock_011 (2008-01-14),2008-01-14,2008-01-29,12,-0.013374,-0.091046,2.36,auto_detected
Shock_012 (2008-02-05),2008-02-05,2008-02-19,11,-0.003092,-0.052802,0.61,auto_detected
Shock_013 (2008-02-27),2008-02-27,2008-04-04,25,-0.005033,-0.053174,0.94,auto_detected
Shock_014 (2008-04-11),2008-04-11,2008-04-21,5,0.01245,0.001566,2.03,auto_detected
Shock_015 (2008-05-20),2008-05-20,2008-06-10,16,-0.009227,-0.028019,1.65,auto_detected
Shock_016 (2008-06-17),2008-06-17,2008-07-03,13,-0.011731,-0.042408,2.08,auto_detected
Shock_017 (2008-07-10),2008-07-10,2008-08-05,19,0.004205,-0.045218,0.63,auto_detected
Global Financial Crisis,2008-09-09,2009-01-15,84,-0.005856,-0.130142,1.08,global_financial
Shock_019 (2009-02-11),2009-02-11,2009-04-15,39,0.004402,-0.042886,0.66,auto_detected
Shock_020 (2009-04-29),2009-04-29,2009-06-02,24,0.01207,-0.028933,1.97,auto_detected
Shock_021 (2009-06-11),2009-06-11,2009-06-23,9,-0.010198,-0.036436,1.82,auto_detected
Shock_022 (2009-07-02),2009-07-02,2009-07-23,16,0.002579,-0.060216,0.35,auto_detected
Shock_023 (2009-08-04),2009-08-04,2009-08-10,5,-0.011972,-0.023418,2.12,auto_detected
Shock_024 (2009-08-20),2009-08-20,2009-08-26,5,0.012643,0.003558,2.06,auto_detected
Shock_025 (2009-10-26),2009-10-26,2009-11-10,11,-0.002123,-0.031871,0.45,auto_detected
Shock_026 (2010-01-20),2010-01-20,2010-01-28,6,-0.011842,-0.031399,2.1,auto_detected
Shock_027 (2011-01-04),2011-01-04,2011-01-11,6,-0.011296,-0.0243,2.0,auto_detected
Shock_028 (2011-01-25),2011-01-25,2011-02-01,5,-0.011689,-0.016579,2.07,auto_detected
Shock_029 (2011-04-29),2011-04-29,2011-05-05,5,-0.011585,-0.024152,2.05,auto_detected
Shock_030 (2011-08-02),2011-08-02,2011-08-19,13,-0.009978,-0.022869,1.78,auto_detected
Shock_031 (2011-08-29),2011-08-29,2011-09-06,5,0.012907,-0.004534,2.11,auto_detected
Shock_032 (2011-10-05),2011-10-05,2011-10-13,6,0.010349,-0.004379,1.67,auto_detected
Shock_033 (2011-11-11),2011-11-11,2011-12-14,23,-0.003981,-0.026323,0.76,auto_detected
Shock_034 (2013-08-14),2013-08-14,2013-08-22,6,-0.00873,-0.041685,1.57,auto_detected
Shock_035 (2013-09-04),2013-09-04,2013-09-12,6,0.015177,-0.010617,2.49,auto_detected
Shock_036 (2014-05-08),2014-05-08,2014-05-15,6,0.011392,0.0,1.85,auto_detected
Shock_037 (2015-08-18),2015-08-18,2015-08-26,7,-0.012045,-0.060973,2.13,auto_detected
Shock_038 (2016-02-05),2016-02-05,2016-02-12,6,-0.009806,-0.033733,1.75,auto_detected
Shock_039 (2016-02-26),2016-02-26,2016-03-08,7,0.010177,-0.006093,1.64,auto_detected
IL&FS and NBFC Liquidity Crisis,2018-09-28,2018-10-09,7,-0.009087,-0.027044,1.63,domestic_financial
Shock_041 (2019-09-18),2019-09-18,2019-09-26,7,0.009621,-0.012854,1.55,auto_detected
COVID-19 Pandemic Onset,2020-02-24,2020-04-15,33,-0.009174,-0.139038,1.64,health_nonfinancial
Shock_043 (2020-05-04),2020-05-04,2020-05-08,5,-0.012738,-0.059161,2.25,auto_detected
Shock_044 (2020-05-26),2020-05-26,2020-06-03,7,0.015306,-0.001129,2.52,auto_detected
Shock_045 (2020-09-18),2020-09-18,2020-09-24,5,-0.012737,-0.02975,2.25,auto_detected
Shock_046 (2020-11-03),2020-11-03,2020-11-11,7,0.012645,0.008009,2.06,auto_detected
Shock_047 (2021-01-21),2021-01-21,2021-02-05,11,0.001719,-0.019244,0.21,auto_detected
Shock_048 (2022-01-18),2022-01-18,2022-01-24,5,-0.01308,-0.026927,2.31,auto_detected
Shock_049 (2022-02-18),2022-02-18,2022-02-24,5,-0.012601,-0.04896,2.23,auto_detected
Shock_050 (2022-03-08),2022-03-08,2022-03-14,5,0.012323,0.00214,2.01,auto_detected
Shock_051 (2022-06-10),2022-06-10,2022-06-17,6,-0.012434,-0.026734,2.2,auto_detected
Shock_052 (2025-04-01),2025-04-01,2025-04-21,12,0.002121,-0.03297,0.28,auto_detected
